2018-19,,,,,2017-18,,,,,2016-17,,,
2-hourly mean daily temperature,,,,,2-hourly mean daily temperature,,,,,2-hourly mean daily temperature,,,
Date,Min,Mean,Max,,Date,Min,Mean,Max,,Date,Min,Mean,Max
1/11/2018,14.323,15.619,17.05,,1/11/2017,14.42,15.523,17.003,,1/11/2016,12.338,13.366,14.466
2/11/2018,13.269,16.056,18.265,,2/11/2017,14.134,14.85,15.868,,2/11/2016,12.762,13.127,13.525
3/11/2018,13.238,14.033,14.6,,3/11/2017,12.853,14.402,15.848,,3/11/2016,13.056,13.558,14.138
4/11/2018,12.994,13.476,13.971,,4/11/2017,11.796,13.001,13.921,,4/11/2016,12.825,14.19,15.684
5/11/2018,13.991,15.01,15.893,,5/11/2017,12.596,13.604,14.618,,5/11/2016,12.547,13.396,14.268
6/11/2018,13.252,14.594,15.481,,6/11/2017,12.462,14.256,16.509,,6/11/2016,12.908,13.463,14.106
7/11/2018,12.55,13.792,15.034,,7/11/2017,13.084,13.924,15.366,,7/11/2016,12.052,13.064,13.684
8/11/2018,13.115,13.776,14.69,,8/11/2017,13.907,14.85,16.238,,8/11/2016,12.269,13.484,14.597
9/11/2018,13.59,14.018,14.866,,9/11/2017,13.981,15.134,16.66,,9/11/2016,13.63,14.722,15.959
10/11/2018,13.978,14.533,15.517,,10/11/2017,14.843,16.059,18.022,,10/11/2016,13.944,15.095,15.961
11/11/2018,14.404,15.462,16.826,,11/11/2017,14.579,16.603,19.025,,11/11/2016,14.175,15.731,17.083
12/11/2018,14.866,15.842,17.516,,12/11/2017,15.271,17.047,19.44,,12/11/2016,13.638,14.76,16.245
13/11/2018,14.398,15.481,16.915,,13/11/2017,15.879,17.816,19.664,,13/11/2016,13.125,13.623,13.901
14/11/2018,14.388,15.201,16.434,,14/11/2017,15.505,18.781,22.845,,14/11/2016,13.426,13.87,14.548
15/11/2018,14.109,14.917,15.851,,15/11/2017,16.761,18.74,21.451,,15/11/2016,13.062,14.149,15.911
16/11/2018,13.914,14.757,15.538,,16/11/2017,16.038,17.029,18.521,,16/11/2016,13.543,14.504,16.137
17/11/2018,14.77,15.908,17.625,,17/11/2017,15.457,18.178,23.537,,17/11/2016,13.636,15.336,18.264
18/11/2018,15.181,16.906,18.731,,18/11/2017,16.642,19.84,24.405,,18/11/2016,13.977,15.579,17.933
19/11/2018,15.361,17.359,19.251,,19/11/2017,17.475,20.543,24.546,,19/11/2016,14.742,16.109,17.46
20/11/2018,15.54,17.812,19.77,,20/11/2017,18.553,21.182,24.739,,20/11/2016,15.713,16.932,18.796
21/11/2018,16.183,16.447,16.84,,21/11/2017,18.363,21.024,24.4,,21/11/2016,15.195,16.523,17.992
22/11/2018,14.45,15.782,17.988,,22/11/2017,18.204,20.587,23.512,,22/11/2016,14.958,16.517,17.693
23/11/2018,13.975,14.928,16.006,,23/11/2017,17.998,20.2,23.255,,23/11/2016,14.454,15.064,15.732
24/11/2018,13.439,14.994,16.795,,24/11/2017,18.537,20.048,22.103,,24/11/2016,14.512,15.773,16.763
25/11/2018,14.011,15.225,17.662,,25/11/2017,18.188,19.72,21.665,,25/11/2016,13.753,14.967,16.087
26/11/2018,14.109,14.586,15.198,,26/11/2017,18.838,19.588,20.615,,26/11/2016,13.934,15.201,16.139
27/11/2018,15.14,16.168,17.858,,27/11/2017,18.141,20.049,22.599,,27/11/2016,15.408,16.805,18.563
28/11/2018,15.642,16.885,18.639,,28/11/2017,18.164,20.289,22.71,,28/11/2016,15.327,16.833,18.44
29/11/2018,16.108,17.643,20.406,,29/11/2017,18.561,20.704,23.189,,29/11/2016,15.737,17.145,19.311
30/11/2018,16.508,17.892,20.943,,30/11/2017,18.656,20.824,22.9,,30/11/2016,16.392,17.461,19.309
1/12/2018,15.397,16.865,18.705,,1/12/2017,17.99,19.84,21.919,,1/12/2016,16.869,18.082,19.945
2/12/2018,15.975,17.504,18.976,,2/12/2017,15.075,16.612,18.331,,2/12/2016,14.567,17.109,19.474
3/12/2018,14.346,15.817,17.23,,3/12/2017,12.762,13.948,15.035,,3/12/2016,15.127,16.508,17.62
4/12/2018,13.925,14.993,16.06,,4/12/2017,13.373,14.819,16.395,,4/12/2016,16.541,17.965,18.987
5/12/2018,15.11,15.877,18.522,,5/12/2017,14.501,16.478,19.379,,5/12/2016,16.228,18.144,20.41
6/12/2018,15.687,17.659,21.202,,6/12/2017,15.601,16.746,17.823,,6/12/2016,16.278,17.389,18.605
7/12/2018,16.538,18.261,22.423,,7/12/2017,15.919,16.805,17.926,,7/12/2016,16.355,17.728,19.17
8/12/2018,16.695,18.6,22.202,,8/12/2017,15.282,16.514,18.085,,8/12/2016,12.936,16.223,18.334
9/12/2018,16.223,17.591,20.092,,9/12/2017,15.401,16.679,18.046,,9/12/2016,14.39,15.085,16.123
10/12/2018,16.384,18.087,20.605,,10/12/2017,15.744,17.426,19.21,,10/12/2016,14.612,15.244,15.917
11/12/2018,14.325,18.109,21.595,,11/12/2017,16.364,17.803,19.56,,11/12/2016,15.233,16.453,18.117
12/12/2018,16.492,18.749,21.752,,12/12/2017,16.721,19.531,22.064,,12/12/2016,15.428,17.043,20.215
13/12/2018,17.021,19.197,22.73,,13/12/2017,17.506,19.699,21.29,,13/12/2016,14.027,16.213,17.844
14/12/2018,18.243,19.611,21.63,,14/12/2017,17.427,20.142,22.669,,14/12/2016,13.618,15.363,17.453
15/12/2018,18.602,19.996,23.078,,15/12/2017,16.967,19.614,22.374,,15/12/2016,14.779,15.784,17.609
16/12/2018,17.962,18.727,20.16,,16/12/2017,17.395,19.143,20.726,,16/12/2016,15.697,16.735,18.873
17/12/2018,17.441,19.955,21.902,,17/12/2017,16.808,18.962,22.08,,17/12/2016,13.981,15.508,16.785
18/12/2018,16.45,18.96,21.985,,18/12/2017,17.023,19.378,22.454,,18/12/2016,14.138,15.007,15.879
19/12/2018,16.469,18.292,21.482,,19/12/2017,17.871,19.612,22.518,,19/12/2016,14.681,15.509,15.979
20/12/2018,17.17,18.99,22.053,,20/12/2017,17.069,18.822,20.297,,20/12/2016,14.644,15.821,16.902
21/12/2018,16.398,17.378,19.357,,21/12/2017,14.892,16.658,17.943,,21/12/2016,14.361,15.61,16.47
22/12/2018,15.837,16.683,18.354,,22/12/2017,16.268,17.646,19.338,,22/12/2016,15.81,17.873,20.054
23/12/2018,16.475,18.068,22.348,,23/12/2017,17.213,18.156,19.044,,23/12/2016,16.068,19.167,20.796
24/12/2018,15.854,17.816,21.356,,24/12/2017,16.324,17.535,19.29,,24/12/2016,16.831,20.73,22.859
25/12/2018,16.038,18.072,21.332,,25/12/2017,16.61,18.11,20.298,,25/12/2016,17.01,21.004,24.363
26/12/2018,16.766,18.389,20.746,,26/12/2017,17.49,19.399,22.071,,26/12/2016,16.457,18.927,21.634
27/12/2018,17.184,18.748,21.241,,27/12/2017,18.093,20.706,23.558,,27/12/2016,17.045,18.678,22.009
28/12/2018,17.627,18.961,20.459,,28/12/2017,19.29,21.849,24.305,,28/12/2016,17.218,17.674,18.347
29/12/2018,17.867,19.801,22.452,,29/12/2017,18.204,21.122,23.63,,29/12/2016,17.566,18.181,19.21
30/12/2018,17.558,19.664,21.881,,30/12/2017,17.442,19.473,22.119,,30/12/2016,17.965,18.917,20.339
31/12/2018,18.281,20.268,22.786,,31/12/2017,16.419,18.557,21.212,,31/12/2016,17.788,19.153,21.264
1/01/2019,18.02,20.415,23.3,,1/01/2018,17.046,18.25,20.115,,1/01/2017,16.869,18.053,19.339
2/01/2019,18.11,20.186,22.381,,2/01/2018,16.681,17.805,19.512,,2/01/2017,16.538,17.446,18.222
3/01/2019,18.378,20.394,23.76,,3/01/2018,16.229,17.672,19.504,,3/01/2017,16.496,17.361,18.427
4/01/2019,18.833,20.824,25.015,,4/01/2018,16.896,17.845,19.258,,4/01/2017,17.137,19.225,20.604
5/01/2019,18.189,19.763,23.317,,5/01/2018,17.165,18.698,21.1,,5/01/2017,17.676,19.307,20.76
6/01/2019,17.492,19.001,21.171,,6/01/2018,17.411,18.045,18.624,,6/01/2017,18.59,20.354,22.233
7/01/2019,18.076,19.309,21.14,,7/01/2018,16.388,18.189,20.568,,7/01/2017,19.176,21.941,24.476
8/01/2019,18.383,20.036,22.762,,8/01/2018,18.386,19.75,21.418,,8/01/2017,17.01,21.149,24.288
9/01/2019,17.061,19.332,22.268,,9/01/2018,18.276,20.252,22.111,,9/01/2017,18.846,21.329,24.12
10/01/2019,16.682,17.86,19.497,,10/01/2018,18.172,20.411,22.848,,10/01/2017,18.054,19.912,22.429
11/01/2019,17.313,18.244,19.717,,11/01/2018,18.275,21.078,24.089,,11/01/2017,16.581,18.575,21.095
12/01/2019,18.866,20.551,23.94,,12/01/2018,19.163,20.457,21.696,,12/01/2017,17.465,18.018,19.389
13/01/2019,17.66,19.341,22.069,,13/01/2018,17.831,19.065,20.226,,13/01/2017,15.983,17.629,18.919
