2018-19,Farmer Observations,,,,2017-18,Farmer Observations,,,,2016-17,Farmer Observations,,
Date ,PC,PW Upper,PW Lower,,Date ,PC,PW Upper,PW Lower,,Date ,PC,PW Upper,PW Lower
2018/11/1,0,0,0,,2017/11/1,0,0,0,,2016/11/1,0,0,0
2018/11/2,0,0,0,,2017/11/2,0,0,0,,2016/11/2,0,0,0
2018/11/3,0,0,0,,2017/11/3,0,0,0,,2016/11/3,0,0,0
2018/11/4,0,0,0,,2017/11/4,0,0,0,,2016/11/4,0,0,0
2018/11/5,0,0,0,,2017/11/5,0,0,0,,2016/11/5,0,0,0
2018/11/6,0,0,0,,2017/11/6,0,0,0,,2016/11/6,0,0,0
2018/11/7,0,0,0,,2017/11/7,0,0,0,,2016/11/7,0,0,0
2018/11/8,0,0,0,,2017/11/8,0,0,0,,2016/11/8,0,0,0
2018/11/9,0,0,0,,2017/11/9,0,0,1,,2016/11/9,0,0,0
2018/11/10,0,0,0,,2017/11/10,0,0,1,,2016/11/10,0,0,0
2018/11/11,0,0,0,,2017/11/11,0,0,1,,2016/11/11,0,0,0
2018/11/12,0,0,0,,2017/11/12,0,0,1,,2016/11/12,0,0,0
2018/11/13,0,0,0,,2017/11/13,0,0,1,,2016/11/13,0,0,0
2018/11/14,0,0,0,,2017/11/14,0,0,1,,2016/11/14,0,0,0
2018/11/15,0,0,0,,2017/11/15,0,0,1,,2016/11/15,0,0,0
2018/11/16,0,0,0,,2017/11/16,0,1,1,,2016/11/16,0,0,0
2018/11/17,0,0,0,,2017/11/17,0,2,1,,2016/11/17,0,0,0
2018/11/18,0,0,0,,2017/11/18,0,2,1,,2016/11/18,0,0,0
2018/11/19,0,0,0,,2017/11/19,0,2,1,,2016/11/19,0,0,1
2018/11/20,0,0,0,,2017/11/20,0,2,1,,2016/11/20,0,0,1
2018/11/21,0,0,0,,2017/11/21,0,2,2,,2016/11/21,0,0,1
2018/11/22,0,0,0,,2017/11/22,0,2,2,,2016/11/22,0,0,1
2018/11/23,0,0,0,,2017/11/23,0,2,2,,2016/11/23,0,0,1
2018/11/24,0,0,0,,2017/11/24,0,2,2,,2016/11/24,0,0,1
2018/11/25,0,0,0,,2017/11/25,0,2,2,,2016/11/25,0,1,1
2018/11/26,0,0,0,,2017/11/26,0,2,2,,2016/11/26,0,1,1
2018/11/27,0,0,0,,2017/11/27,0,2,2,,2016/11/27,0,2,1
2018/11/28,0,0,0,,2017/11/28,1,2,2,,2016/11/28,0,2,1
2018/11/29,0,0,0,,2017/11/29,1,0,2,,2016/11/29,0,2,1
2018/11/30,0,0,0,,2017/11/30,2,0,2,,2016/11/30,0,2,1
2018/12/1,0,0,0,,2017/12/1,2,0,2,,2016/12/1,0,2,1
2018/12/2,0,0,0,,2017/12/2,2,0,2,,2016/12/2,0,2,1
2018/12/3,0,0,0,,2017/12/3,2,0,2,,2016/12/3,0,2,1
2018/12/4,0,0,0,,2017/12/4,2,0,2,,2016/12/4,0,2,1
2018/12/5,0,0,0,,2017/12/5,1,0,2,,2016/12/5,0,1,1
2018/12/6,0,0,0,,2017/12/6,1,0,2,,2016/12/6,0,1,2
2018/12/7,0,0,0,,2017/12/7,1,0,2,,2016/12/7,0,1,2
2018/12/8,0,0,0,,2017/12/8,1,0,1,,2016/12/8,0,1,2
2018/12/9,0,0,1,,2017/12/9,0,0,1,,2016/12/9,0,1,2
2018/12/10,0,0,1,,2017/12/10,0,0,1,,2016/12/10,0,1,2
2018/12/11,0,0,1,,2017/12/11,0,1,1,,2016/12/11,0,1,2
2018/12/12,0,0,1,,2017/12/12,0,1,1,,2016/12/12,0,1,2
2018/12/13,1,2,1,,2017/12/13,0,1,1,,2016/12/13,0,1,2
2018/12/14,1,2,1,,2017/12/14,0,1,1,,2016/12/14,0,1,2
2018/12/15,1,2,1,,2017/12/15,0,1,1,,2016/12/15,0,1,2
2018/12/16,2,2,1,,2017/12/16,0,1,1,,2016/12/16,0,1,2
2018/12/17,2,2,1,,2017/12/17,0,1,1,,2016/12/17,0,1,2
2018/12/18,2,2,1,,2017/12/18,0,1,1,,2016/12/18,0,1,2
