,PC1F,PC2F,PC3F
2017/11/14 0:03,15.76,15.76,15.951
2017/11/14 0:33,15.664,15.569,15.76
2017/11/14 1:03,15.664,15.664,15.76
2017/11/14 1:33,16.141,16.046,16.237
2017/11/14 2:03,16.427,16.332,16.427
2017/11/14 2:33,16.237,16.141,16.237
2017/11/14 3:03,16.141,16.046,16.046
2017/11/14 3:33,16.046,15.951,15.951
2017/11/14 4:03,16.141,16.046,16.141
2017/11/14 4:33,15.855,15.76,15.855
2017/11/14 5:03,15.664,15.569,15.664
2017/11/14 5:33,15.473,15.378,15.473
2017/11/14 6:03,15.187,15.091,15.187
2017/11/14 6:33,15.664,15.378,15.473
2017/11/14 7:03,15.569,15.473,15.569
2017/11/14 7:33,15.855,15.76,15.855
2017/11/14 8:03,16.046,15.951,16.046
2017/11/14 8:33,16.999,16.903,16.999
2017/11/14 9:03,17.855,17.855,17.95
2017/11/14 9:33,18.996,18.901,18.996
2017/11/14 10:03,20.138,20.043,20.138
2017/11/14 10:33,27.567,27.173,24.641
2017/11/14 11:03,24.158,19.092,21.091
2017/11/14 11:33,18.331,19.758,18.996
2017/11/14 12:03,18.996,20.71,19.282
2017/11/14 12:33,19.567,21.76,19.948
2017/11/14 13:03,20.138,22.525,21.091
2017/11/14 13:33,20.996,22.812,21.187
2017/11/14 14:03,22.333,23.388,23.292
2017/11/14 14:33,20.615,23.677,22.429
2017/11/14 15:03,20.805,23.292,22.429
2017/11/14 15:33,21.187,22.238,22.238
2017/11/14 16:03,20.901,21.282,22.525
2017/11/14 16:33,20.234,20.805,23.1
2017/11/14 17:03,19.853,20.615,23.1
2017/11/14 17:33,18.901,20.043,22.621
2017/11/14 18:03,18.045,19.472,21.473
2017/11/14 18:33,17.76,18.996,21.091
2017/11/14 19:03,17.76,19.377,20.996
2017/11/14 19:33,17.76,19.377,19.758
2017/11/14 20:03,17.95,19.472,20.519
2017/11/14 20:33,18.236,19.662,20.424
2017/11/14 21:03,19.662,18.806,20.71
2017/11/14 21:33,20.234,18.616,20.71
2017/11/14 22:03,20.043,19.092,20.519
2017/11/14 22:33,20.329,19.282,20.519
2017/11/14 23:03,20.043,19.092,20.329
2017/11/14 23:33,19.758,18.521,19.567
2017/11/15 0:03,19.662,17.855,19.662
2017/11/15 0:33,19.282,17.284,19.377
2017/11/15 1:03,18.901,16.999,17.95
2017/11/15 1:33,18.236,17.189,17.95
2017/11/15 2:03,18.806,17.094,17.95
2017/11/15 2:33,18.426,17.284,18.045
2017/11/15 3:03,18.426,17.379,17.95
2017/11/15 3:33,18.521,18.045,17.76
2017/11/15 4:03,18.426,17.76,17.189
2017/11/15 4:33,17.379,17.189,17.094
2017/11/15 5:03,17.094,16.903,17.189
2017/11/15 5:33,17.189,16.618,17.094
2017/11/15 6:03,16.999,16.618,16.808
2017/11/15 6:33,16.903,16.618,16.618
2017/11/15 7:03,16.808,16.618,16.808
2017/11/15 7:33,16.808,16.618,16.903
2017/11/15 8:03,16.903,16.808,16.999
2017/11/15 8:33,17.284,16.808,17.094
2017/11/15 9:03,17.665,16.903,16.999
2017/11/15 9:33,17.855,17.284,17.284
2017/11/15 10:03,17.95,17.475,18.426
2017/11/15 10:33,18.045,18.711,18.616
2017/11/15 11:03,18.331,19.187,18.331
2017/11/15 11:33,18.616,19.853,18.711
2017/11/15 12:03,19.092,19.948,19.282
2017/11/15 12:33,19.662,20.615,19.853
2017/11/15 13:03,19.948,21.282,20.996
2017/11/15 13:33,20.138,22.333,21.091
2017/11/15 14:03,20.043,22.621,21.187
2017/11/15 14:33,20.138,22.908,22.046
2017/11/15 15:03,20.234,22.908,21.091
2017/11/15 15:33,20.043,23.004,21.187
2017/11/15 16:03,20.234,22.142,21.091
2017/11/15 16:33,20.234,22.142,20.234
2017/11/15 17:03,20.234,21.569,19.948
2017/11/15 17:33,19.758,20.234,19.758
2017/11/15 18:03,19.092,19.853,19.853
2017/11/15 18:33,17.95,19.472,20.043
2017/11/15 19:03,17.665,19.662,19.853
2017/11/15 19:33,17.475,19.472,19.758
2017/11/15 20:03,17.475,19.853,19.567
2017/11/15 20:33,17.475,19.662,19.377
2017/11/15 21:03,17.475,18.616,19.567
2017/11/15 21:33,17.855,18.616,19.377
2017/11/15 22:03,17.475,18.901,19.092
2017/11/15 22:33,17.76,18.711,19.187
2017/11/15 23:03,17.76,18.236,19.092
2017/11/15 23:33,18.236,18.331,18.996
2017/11/16 0:03,18.901,18.236,18.901
2017/11/16 0:33,18.996,18.14,18.806
2017/11/16 1:03,18.901,17.855,18.711
2017/11/16 1:33,18.711,17.57,18.521
2017/11/16 2:03,18.616,17.284,18.426
2017/11/16 2:33,18.426,17.094,18.331
2017/11/16 3:03,18.426,16.618,18.14
2017/11/16 3:33,17.855,16.523,18.045
2017/11/16 4:03,17.665,16.523,17.855
2017/11/16 4:33,17.57,16.713,17.665
2017/11/16 5:03,17.475,16.999,17.57
2017/11/16 5:33,16.999,17.094,17.379
2017/11/16 6:03,16.618,16.999,17.094
2017/11/16 6:33,16.523,16.713,17.094
2017/11/16 7:03,16.523,16.523,16.808
2017/11/16 7:33,16.332,16.523,16.523
