2018-19,,,,,2017-18,,,,,2016-17,,,,,,
Yield Temperature Data,,,,,Yield Temperature Data,,,,,Yield Temperature Data,,,,,,
Upper,,Lower,,,Upper,,Lower,,,Upper,,Lower,,,,
Date ,Temp,Date ,Temp,,Date ,Temp,Date ,Temp,,Date ,Temp,Date ,Temp,,,
2018/11/1 0:00,16.3984,2018/11/1 0:00,15.1345,,2017/11/1 0:00,16.6311,2017/11/1 0:00,15.7168,,2016/11/1 0:00,14.3557,2016/11/1 1:00,14.9989,,,
2018/11/1 0:10,16.5074,2018/11/1 0:10,14.5749,,2017/11/1 0:10,16.6616,2017/11/1 0:10,16.2657,,2016/11/1 0:10,14.4138,2016/11/1 1:10,14.8658,,,
2018/11/1 0:20,16.5598,2018/11/1 0:20,13.6792,,2017/11/1 0:20,16.6728,2017/11/1 0:20,16.5159,,2016/11/1 0:20,14.4674,2016/11/1 1:20,13.7368,,,
2018/11/1 0:30,16.4963,2018/11/1 0:30,13.4764,,2017/11/1 0:30,16.6763,2017/11/1 0:30,16.6512,,2016/11/1 0:30,14.4691,2016/11/1 1:30,13.5505,,,
2018/11/1 0:40,16.4855,2018/11/1 0:40,13.7731,,2017/11/1 0:40,16.7003,2017/11/1 0:40,16.6194,,2016/11/1 0:40,14.7873,2016/11/1 1:40,13.7323,,,
2018/11/1 0:50,16.349,2018/11/1 0:50,14.33,,2017/11/1 0:50,16.7417,2017/11/1 0:50,16.5673,,2016/11/1 0:50,14.8467,2016/11/1 1:50,13.7325,,,
2018/11/1 1:00,16.3229,2018/11/1 1:00,14.5225,,2017/11/1 1:00,16.7948,2017/11/1 1:00,16.4046,,2016/11/1 1:00,14.9204,2016/11/1 2:00,14.2572,,,
2018/11/1 1:10,16.2915,2018/11/1 1:10,14.701,,2017/11/1 1:10,16.8355,2017/11/1 1:10,16.6375,,2016/11/1 1:10,14.9084,2016/11/1 2:10,14.2867,,,
2018/11/1 1:20,16.2919,2018/11/1 1:20,14.764,,2017/11/1 1:20,16.8545,2017/11/1 1:20,16.7486,,2016/11/1 1:20,14.9064,2016/11/1 2:20,14.2713,,,
2018/11/1 1:30,16.3006,2018/11/1 1:30,14.983,,2017/11/1 1:30,16.8886,2017/11/1 1:30,16.935,,2016/11/1 1:30,14.926,2016/11/1 2:30,13.965,,,
2018/11/1 1:40,16.3126,2018/11/1 1:40,15.1055,,2017/11/1 1:40,16.9701,2017/11/1 1:40,17.214,,2016/11/1 1:40,14.9406,2016/11/1 2:40,14.0624,,,
